Constantin Chiriţă,,,,,,,,,,,,,,
"— Cuţu, cuţu, Ţângulică, ia spune-mi din coadă cât e ceasul…?! Elevii cei mici râdeau de se prăpădeau, moş Timofte se încrunta şi ameninţa teribil cu degetul, dar Tic, nedumerit, făcea sforţări cumplite (hm!) pentru a afla cauza veseliei din jur. Într-atâta se obişnuise Tic cu această şotie nevinovată, încât înscenase o a doua ceremonie de botez, adăugând numele de Ţângulică lui Ţombi, căţelul lui credincios pe care voia să-l facă celebru. Se chinuia ca un drac să-l înveţe diviziunea timpului şi citirea orelor după mersul soarelui. Dar pentru ca noul nume să nu rămână o simplă adăugire, sortită unei uitări timpurii, şi pentru că se credea persecutat de moş Timofte, prichindelul a hotărât să folosească numele de Ţângulică atunci când căţelul trebuia certat, adică atunci când îl descoperea în roluri negative, şi numele de Ţombi când căţelul trebuia alintat sau când merita să fie încurajat, adică atunci când interpreta roluri pozitive. A făcut Tic multe repetiţii până să ajungă să spună automat fraze de genul acesta:",,,,,,,,,,,,,,
"— Jigodie scârboasă, mizerabile, Ţângulică afurisit, unde mi-ai ascuns gheata? Marş în cuşcă, Ţângulică! Marş!",,,,,,,,,,,,,,
"— Bravo, Ţombi! Bravo! A doua oară să-i jupoi toată blana, numai coada să i-o laşi, ca să am de ce să-l trag…",,,,,,,,,,,,,,
"În ciuda acestor aparenţe, Tic ţinea la moş Timofte, ba în adâncul sufletului îl iubea chiar foarte mult. Îl strâmba el, îi imita vocea şi strănutul, îi flutura mereu din degete, dar cine altul îi strecura în gheretă, pe neobservate, într-o anumită zi a săptămânii, o portocală învelită frumos în hârtie roşie, mătăsoasă? Printr-o întâmplare foarte norocoasă, aflase puştiul că nimic nu-i place mai mult bătrânului paznic decât portocalele şi se făcea luntre şi punte pentru a avea întotdeauna un fruct portocaliu gata de sacrificiu.",,,,,,,,,,,,,,
"După cum se vede, nici bătrânul, nici puştiul nu aveau curajul să-şi dea pe faţă dragostea pe care în adâncul sufletului şi-o purtau. Ceea ce li se întâmpla amândurora cam pentru prima dată în viaţă.",,,,,,,,,,,,,,
"Moş Timofte scutură îndelung clopoţelul. La drept vorbind, ceea ce se ascundea sub această denumire era o talangă cât toate zilele, care n-ar fi făcut cine ştie ce notă discordantă în clopotniţa atât de cutreierată de elevi, lilieci şi cucuvele, a bisericii sfântul Dumitru, de peste drum de şcoală. Nu era un simplu obicei, ci o adevărată plăcere pentru moş Timofte întâlnirea repetată, regulată şi sonoră cu obiectul care dădea semnalul de recreaţie, şi n-ar fi folosit pentru nimic în lume soneriile de multă vreme instalate în şcoală. Ţârâitul lor impersonal, mecanic, uniform n-avea nici un farmec pentru bătrân. Mai degrabă ar fi perindat coridoarele liceului sunând la uşa fiecărei clase decât să apese butoanele acelea mărunte de lângă cancelarie, care nu puteau transmite niciodată emoţii sau cântece, cum făcea clopoţelul în mâna lui. Şi mai era şi un ceas electric instalat chiar deasupra butoanelor care l-ar fi enervat crunt pe bătrân dacă şi-ar fi însuşit acest stil modern de semnalizare a recreaţiilor. Ar fi avut impresia că se află sub controlul ceasului, el care de cincizeci de ani meşterea fără greş huiduma metalică din turn. De aceea, nici după ce agită a doua oară clopoţelul nu-şi aruncă privirile spre ceasul electric. Dacă ar fi făcut însă altcineva gestul acesta, ar fi descoperit cu uimire că mai erau aproape cinci minute până la pauză. Şi fiindcă era primul semnal de recreaţie mărită din acel an, însemna, în graiul original al lui moş Timofte, că până la vacanţa mare mai rămăseseră câteva zile. „Da!” îşi spuse bătrânul şi scutură pentru a treia şi ultima oară talanga, împrăştiind un sunet curios, parcă străbătut de note duioase. După ce aşeză clopoţelul la locul lui, coborî pe scara largă de piatră care lega clădirea de curtea mare a şcolii. Ajuns pe ultima treaptă, se postă ca o santinelă lângă leul de bronz din dreapta şi aşteptă câteva clipe. Tresări la auzul uşii care se deschidea, îşi aţinti ochii într-acolo, urmări cu privirea mogâldeaţa care se prăvălea pe trepte, şi, cu un zâmbet de mulţumire, moşul făcu cale întoarsă, poposind undeva lângă cancelarie. Nu se înşelase nici de astă dată. Primul elev care ajunsese în curte, primul elev care atacase recreaţia era, bineînţeles, Tic.",,,,,,,,,,,,,,
"Da, da! Tic fu primul care, cu un chiot ascuţit, străpunse tăcerea întinsă a curţii şi anunţă cavalcada sonoră a pauzei. Câteva clipe mai târziu, curtea imensă, străjuită de plopi şi castani, cu şirurile lungi de bănci simple, fără spetează: sute de metri de bănci aşezate în soare – cu spaţii nesfârşite care puteau adăposti zece meciuri simultane de fotbal, cu alte bănci, mici, izolate, făcute din bârne groase prinse în cuie de lemn, răspândite ici-colo, la umbra deasă a castanilor: teritoriu ocupat numai de elevii mari, curtea imensă a şcolii se lăsă cucerită, în numai câteva clipe, de avalanşa ţipătoare şi colorată a elevilor. Se formară grupuri, se reluară jocurile întrerupte cu o zi înainte sau începură altele noi, pe clase, pe grupe, pe şiruri de bănci, un talmeş-balmeş asurzitor, dar atât de sigur şi de precis împărţit, în care fiecare elev îşi avea locul: curse de cai, lapte gros, cincizeci de metri plat, sărituri, oină, echilibristică, urmăriri, evadări, scâncete, râsete, ţipete, aplauze, strâmbături, lecţii repetate, taine, fotbal, laude, rugăminţi, sandvişuri, fotbal, ochiade, provocări şi iar fotbal. Dar erau şi teritorii ocupate de cei mari, care repetau pentru examene sau se plimbau preocupaţi, cu mâinile la spate, comentând sezonul sportiv sau ultimele filme şi manifestându-şi din când în când dispreţul faţă de cei mici, care le asurzeau urechile cu zgomotele şi ţopăiala lor. Puştii scoteau însă pe furiş limba după ei, fără să le treacă prin cap că după câţiva ani vor face aceleaşi gesturi de uimire şi dispreţ; şi neînchipuindu-şi aceasta, şi pentru a le face în ciudă celor mari, îşi împrospătau mereu joaca şi zbenguiala cu alte torente de ţipete, pe care le dirijau ca pe nişte canonade spre teritoriile liniştite de la umbra castanilor.",,,,,,,,,,,,,,
"Undeva în curte, pe unul dintre terenurile de fotbal improvizate la repezeală şi delimitate de trupurile spectatorilor, se trăgea la o poartă. Îşi încercau pe rând norocul fotbaliştii din clasele de mijloc. Şuturi plasate, sau bombe fulgerătoare, luau direcţia porţii făcută ca întotdeauna din haine, şepci, pietre şi pulovere. Portarul, un elev dintr-a opta, nu lăsa nici o minge să treacă prin spaţiul apărat de el. Chiar când Tic, singurul dintre cei mici care nu era privit ca un intrus acolo, din motive ce se vor descoperi mai târziu, se repezi ca un bolid spre minge, prefăcându-se că va trage cu toată puterea în stânga, dar de fapt împingând-o plasat spre colţul din dreapta, la gaura de şoarece, portarul nu-şi pierdu cumpătul şi opri mingea, cum s-ar spune în termeni sportivi banali, chiar pe linia porţii. Înciudat, nefericitul concurent scoase o limbă uriaşă pe care i-o arătă în toată splendoarea ei portarului, şi, bineînţeles, dezamăgit de insucces, îşi coti paşii iuţi în altă direcţie. După el se ţinea, parcă urmărind o lecţie vie, sau supunându-se unui obicei de mult statornicit, o droaie de puşti.",,,,,,,,,,,,,,
"— Bă, Tic, ce apără azi Sergiu! Pun pariu, să mor eu, că nu-l găureşti!",,,,,,,,,,,,,,
"Tic îl privi de sus, cu dispreţ nedeghizat, pe piciul îndrăzneţ, şi se hotărî să-l pună imediat la punct:",,,,,,,,,,,,,,
"— Eu? Pe Sergiu…?! Ha! Ha!… Te-aş lăsa gol, mă, auzi? Te-aş lăsa ca planşa de la anatomie, dacă mi-aş pune mintea cu tine. Şi pielea ţi-aş lua-o… Dacă n-aş fi elev, aş juca astăzi în naţională…",,,,,,,,,,,,,,
— Daaaa! Las' că ştiu eu… Te lauzi. Află de la mine că azi nu-l găureşte nimeni pe Sergiu. Ţii pariul?,,,,,,,,,,,,,,
"— Ai tu noroc că mie nu-mi plac oamenii săraci, adică oamenii sărăciţi… Altfel aş paria imediat.",,,,,,,,,,,,,,
"Mâna lui Tic se îndrepta ameninţătoare spre nasul bravului amator de pariuri, dar mişcarea se opri brusc în aer, derutându-l şi mai rău pe admiratorul lui Sergiu. Privirile lui Tic descoperiseră ceva în zona aparatelor de gimnastică, mai bine zis descoperiseră pe cineva acolo: un vlăjgan care se întrecea în acrobaţii. Temerarul solitar n-avea mai mult de şaisprezece ani, dar statura lui, şi mai ales braţele sale goale care se prefăceau în zeci de muşchi impresionanţi, ca nişte coarde de oţel, la fiecare mişcare dovedeau o forţă şi o elasticitate puţin obişnuite. Droaia lui Tic îşi urmă cu fidelitate şeful, copiindu-i întocmai mersul şi atitudinea. Mişcându-se lent, cu gâturile strâmbe şi privirile fixate într-o singură direcţie, prichindeii păreau că oficiază un ritual cu totul misterios şi necunoscut. Mai era şi cadenţa paşilor, şi mai ales tăcerea uluitoare a celei mai guralive şi mai nebunatice cete din şcoală.",,,,,,,,,,,,,,
"Tăcerea era deplină şi în zona aparatelor de gimnastică. Spectatorii, mari şi mici, urmăreau cu sufletul la gură ceea ce se petrecea deasupra capetelor lor. Vlăjganul se căţărase pe o frânghie fără noduri, şi fără ajutorul picioarelor, cum înregistră foarte prompt Tic, sus, pe bârna de care erau prinse aparatele, şi de acolo, printr-un salt uşor, o jumătate de salt mortal, în văzduh, cum notase Tic, se agăţase de un cablu gros de sârmă, care traversa, inutil, la cinci metri înălţime, toată curtea şcolii. Apoi, foarte liniştit şi zâmbind cuiva din văzduh, îşi găsi în câteva secunde o poziţie ideală de odihnă.",,,,,,,,,,,,,,
"— Îl vedeţi, mă! Se răsti Tic la prichindeii înfioraţi din jur. Ăsta-i Ursu, colegul soră-mii şi cel mai bun prieten al meu. Lucrăm amândoi la bară. Dacă ne-aţi vedea cum facem amândoi gigantica şi salturile mortale… Asta-i un fleac.",,,,,,,,,,,,,,
"— Ia nu te mai lăuda, mă piţigoiule, îl apostrofă pe neaşteptate un slăbănog lung şi deşirat, cu nasul ca o pătlăgică. Până la urmă te pomeneşti că ajungi şi acrobat la circ.",,,,,,,,,,,,,,
"Insulta slăbănogului, rostită chiar în faţa prichindeilor, îl amuţi pe Tic şi-l lăsă o clipă cu gura căscată. Din fericire, slăbănogul porni imediat după alte victime pe care le culegea numai din cetele celor mici, aşa că nu-l auzi pe Tic cum îşi dăscălea însoţitorii:",,,,,,,,,,,,,,
"— Bă, dacă vă întreabă la naturale cum se cheamă pasărea aceea tâmpită care dă tot timpul din coadă, să spuneţi că se numeşte codobatură sau Pompilică…",,,,,,,,,,,,,,
"Ciufuliciul nu reuşi să-şi ducă până la capăt răzbunarea verbală, cumplită în intenţia ei, din simplul motiv că prietenul lui cel mai bun, acel vlăjgan căruia îi spunea Ursu, începu o nouă mişcare, acolo sus, deasupra capetelor lor. Se lansase într-o cursă rapidă, a cărei ciudăţenie nu consta numai din faptul că se făcea pe un cablu, cu ajutorul mâinilor, ci mai ales pentru că fiecare mişcare de înaintare se făcea prin întoarceri, şi la fiecare întoarcere trupul se sprijinea într-o singură mână, ceea ce, să recunoaştem, nu era chiar în puterea oricui. Când distanţa dintre cablu şi bârna aparatelor ajunse la vreo patru-cinci metri, vlăjganul făcu pe neaşteptate o semigigantică, adică o pendulare lungă, şi îşi dădu drumul în văzduh. Printre buzele deschise ale spectatorilor răzbătu un ţipăt, un început de ţipăt, pentru că fu retezat într-o clipită, atunci când braţele acrobatului se încolăciră sigure pe una din frânghiile de pe bârnă, transformându-i trupul într-o pendulă ordonată.",,,,,,,,,,,,,,
"— Ei, bă! Se repezi Tic la bravul amator de pariuri. Nu mai spui nimic? Acum să te văd!… Arată-mi tu altul, în afară de mine şi de Ursu, care să facă figura asta. Nici nu ştii cum se cheamă figura, mă găgăuţă. Zborul Liliacului, auzi, tu?!",,,,,,,,,,,,,,
"Piciul era însă atât de înspăimântat de ceea ce văzuse, că nu tălmăci pe de-a-ntregul spusele lui Tic. Şi cum spaima are de multe ori o mare putere de convingere, piciul crezu cel puţin jumătate din lauda colegului său.",,,,,,,,,,,,,,
"— Uite, dacă vrei, continuă Tic, într-o clipă sunt lângă Ursu. Ce, crezi că mi-e frică?",,,,,,,,,,,,,,
"Nu într-o clipă, dar în câteva clipe, Tic fu într-adevăr lângă Ursu. Nu pentru ca să repete figura acestuia, ci pentru că un băiat brunet şi rotofei se apucase să zgâlţâie frânghia de care se agăţase Ursu şi-i făcuse semn să coboare. Vlăjganul alunecă spre pământ cu atâta iuţeală, că aproape toţi spectatorii îşi imaginară un accident. Unul singur se lăsă condus de inspiraţie subită şi se strecură ca o nevăstuică lângă Ursu. Nu putea fi altcineva decât Tic. Inspiraţia lui se dovedi norocoasă. Ciufuliciul blond şi cârn mai avu timp să audă o parte din cuvintele pe care Dan, băiatul cel oacheş şi rotofei, i le şopti tainic acrobatului victorios.",,,,,,,,,,,,,,
— Ne cheamă Victor. Sub castanul de lângă cişmea. Tu du-te repede şi anunţă fetele.,,,,,,,,,,,,,,
"Îndemnul lui Dan îl transformă pe Ursu într-un fulger, iar pe Tic într-un fel de fulgeraş, dacă se poate spune aşa. Pe potecile deschise la iuţeală, printre spectatorii zăpăciţi de goana de bolid a vlăjganului, se strecura triumfător şi Tic. Iar când trecură amândoi ca nişte rachete prin mijlocul terenului de fotbal apărat de fenomenalul Sergiu, se întâmplă că mingea, scăpată de cine ştie cine, venea chiar în întâmpinarea lui Tic. Prichindelul, în zodia celor mai bune inspiraţii, expedie, în plină goană, un şut năprasnic spre poartă, pe care Sergiu nici nu-l văzu. Doar îl auzi şuierându-i pe lângă ureche. Şi dintr-odată, dându-şi seama de marea lui faptă, Tic se opri într-un urlet de bucurie, uitând cu totul de Ursu. Aruncă mai întâi o privire dispreţuitoare spre Sergiu, apoi trecu în revistă întreaga asistenţă, absolut uluită de întâmplare, în căutarea bravului amator de pariuri. Tic era hotărât, dacă nu să-l dezbrace de tot pe îndrăzneţul prichindel, măcar ciorapii să i-i scoată din picioare. Ceea ce în limbajul său original însemna să-l descalţe şi de pantofi, pentru că nu văd cine ar izbuti să-i scoată cuiva ciorapii fără să-i atingă şi încălţămintea.",,,,,,,,,,,,,,
"— Doamne, ce gol mare am băgat! Se pomeni Tic lăudându-se. Le-am cam rupt gura la toţi. Ia zi-i, mă planşă de anatomie! Tot mai crezi că mă laud? Uită-te la Sergiu.",,,,,,,,,,,,,,
"Înciudat şi parcă ameţit de o lovitură primită în ceafă, Sergiu părăsea poarta. Aşa îşi închipuia Tic, dar era numai jumătate din adevăr. Cealaltă jumătate consta în chemarea misterioasă pe care i-o adresase băietanul acela lung şi deşirat căruia Tic îi scornise o nouă poreclă: codobatură.",,,,,,,,,,,,,,
"— Iar se-adună cireşarii. Ce facem, Sergiule?",,,,,,,,,,,,,,
Cel întrebat rămase doar o clipă în cumpănă. Îi răspunse imediat lui Pompilică:,,,,,,,,,,,,,,
"— Eu mă învârtesc pe aici, iar tu… Unde se-adună?",,,,,,,,,,,,,,
"— La locul lor, sub castan, lângă cişmea.",,,,,,,,,,,,,,
"— Formidabil!… Cum, tot n-ai înţeles? Ei sub castan… Iar tu în castan, blegule. Arde-o!",,,,,,,,,,,,,,
"Ursu îşi opri goana brusc, printr-o frânare atât de hotărâtă, că era cât pe-aci să se dea de-a berbeleacul. În faţa lui, pe o bancă retrasă la umbra castanilor, îl priveau cu ochi mari, uimiţi, două fete. Una brunetă, aproape palidă, cu cozi lungi atârnându-i pe piept, cu ochi visători şi mişcări lente, desprinse parcă din vis; cealaltă blondă, cu părul scurt, tuns băieţeşte, cu ochi iscoditori, cu mişcări scurte, sigure, care se vor foarte convingătoare, cu ceva aspru în voce şi-n atitudine, spre deosebire de duioşia pe care o emana prietena ei. Fiecare părea contrastul celeilalte, aceasta la prima vedere.",,,,,,,,,,,,,,
"Fata blondă, care răspundea la numele de Lucia, îl cercetă sever pe mesagerul tăcut:",,,,,,,,,,,,,,
— Parcă te-ar fi revărsat un ciclon din mările Japoniei. Ce s-a întâmplat?,,,,,,,,,,,,,,
"Ursu îi evită privirea. Puţintel stingherit, bolborosi câteva cuvinte:",,,,,,,,,,,,,,
"— Dan mi-a spus că Victor are, în sfârşit, harta…",,,,,,,,,,,,,,
"Amândouă fetele tresăriră în acelaşi timp. Maria, fata negricioasă, cu cozi lungi şi lucioase, sări sprintenă de pe bancă, dar reverenţa care-i continua mişcarea şi care n-avea nici o destinaţie părea lentă, obosită:",,,,,,,,,,,,,,
— Harta! Şi cuvântul o trezi din visul de o clipă. Lucia! Îţi dai seama?,,,,,,,,,,,,,,
"Lucia îşi schimbă dintr-o dată atitudinea. Deveni rigidă, pedantă, ca o profesoară nesigură:",,,,,,,,,,,,,,
— Ascultaţi-mă o clipă şi nu vă pierdeţi cumpătul. Eu mă voi ocupa de terţiar. Singură şi foarte repede îl voi pune la punct. Cuaternarul… Dacă n-aveţi nimic împotrivă… ar putea să fie copiat de Dan.,,,,,,,,,,,,,,
"Nedumerită, Maria încercă un protest:",,,,,,,,,,,,,,
— Lucia! Nu înţelegi că…,,,,,,,,,,,,,,
"— Ba înţeleg foarte limpede. Eu cred că tu nu înţelegi. Îţi pierzi prea repede firea. Uite, ca să scap de orice teamă, îţi făgăduiesc c-o să-l ajut eu pe Ursu, dacă va mai fi nevoie, bineînţeles. Harta cuaternarului e destul de bine reprodusă în manual. Sergiule! N-ai manualul la tine?",,,,,,,,,,,,,,
"Rostind ultimele cuvinte, Lucia îşi întoarse, cu o mişcare firească, aproape leneşă, capul într-o anumită direcţie. Acolo, pe un colţ de bancă, ascuns privirilor de trunchiul unui plop nesfârşit, Sergiu citea de zor dintr-o carte, sau, aşa cum pricepură imediat cei trei cireşari, se prefăcea că e cufundat în lectură. Furios că fusese prea repede descoperit, spionul nenorocos se răsti la ei.",,,,,,,,,,,,,,
"— N-am nici un manual şi, chiar dacă aş avea, nu vi l-aş da, tocilarilor. Asta-i!",,,,,,,,,,,,,,
